label,text,feat_char_count,feat_word_count,feat_sentence_count,feat_avg_word_length,feat_contains_bangla,feat_bangla_ratio,feat_contains_english,feat_is_code_mixed,feat_has_url,feat_url_count,feat_has_url_shortener,feat_has_phone,feat_phone_count,feat_urgency_word_count,feat_has_urgency,feat_scam_indicator_count,feat_has_scam_indicator,feat_action_word_count,feat_has_action,feat_exclamation_count,feat_question_count,feat_all_caps_words,feat_digit_count,feat_digit_ratio,feat_mentions_bkash,feat_mentions_nagad,feat_mentions_rocket,feat_mentions_dbbl,feat_mentions_otp,feat_mentions_pin,feat_has_spelling_error,feat_readability_score
promo,ফিটনেস ইকুইপমেন্টে ১৫% ডিসকাউন্ট! আজই অর্ডার করুন।,50,7,2,6.285714285714286,True,1.5185185185185186,False,False,False,0,False,False,0,1,True,0,False,0,False,1,0,0,2,0.04,False,False,False,False,False,False,False,0
normal,কেমন আছে তোমাদের পরিবার?,24,4,1,5.25,True,1.5384615384615385,False,False,False,0,False,False,0,0,False,0,False,0,False,0,1,0,0,0.0,False,False,False,False,False,False,False,0
normal,তোমাদের দিন কেমন কাটছে?,23,4,1,5.0,True,1.5833333333333333,False,False,False,0,False,False,0,0,False,0,False,0,False,0,1,0,0,0.0,False,False,False,False,False,False,False,0
smish,আপনি ৩ ভরি সোনা জিতেছেন! বিস্তারিত জানতে কল করুন: <PHONE_NUMBER>,64,10,2,5.5,True,1.1142857142857143,True,True,False,0,False,False,0,0,False,0,False,1,True,1,0,1,1,0.015625,False,False,False,False,False,False,False,0
normal,বন্ধুরা কেমন আছে?,17,3,1,5.0,True,1.5555555555555556,False,False,False,0,False,False,0,0,False,0,False,0,False,0,1,0,0,0.0,False,False,False,False,False,False,False,0
normal,শুভ প্রভাত!,11,2,1,5.0,True,1.5,False,False,False,0,False,False,0,0,False,0,False,0,False,1,0,0,0,0.0,False,False,False,False,False,False,False,0
promo,২৬ জানুয়ারি ২০২৪ আন্তর্জাতিক কাস্টমস দিবস উদযাপিত হচ্ছে। এবারের প্রতিপাদ্য বিষয় ‘‘মিলে নবীন-পুরনো অংশীজন/কাস্টমস করবে লক্ষ্য অর্জন”। জাতীয় রাজস্ব বোর্ড,151,20,3,6.6,True,1.6025641025641026,False,False,False,0,False,False,0,0,False,0,False,0,False,0,0,0,6,0.039735099337748346,False,False,False,False,False,False,False,0
smish,"আসসালামুআলাইকুম!

আপনি কি <PERSON> বসে কোন টাকা ইনভেস্টমেন্ট না করে টাকা ইনকাম করতে চান?
তাহলে আমাদের বট এ কাজ করুন। আমাদের বট এ আপনি কোন ইনভেস্টমেন্ট ছাড়া ইনকাম করতে পারবেন।

বট লিঙ্ক: <URL>",192,33,5,4.787878787878788,True,1.3461538461538463,True,True,False,0,False,False,0,0,False,0,False,0,False,1,1,2,0,0.0,False,False,False,False,False,False,False,0
promo,অনলাইন শপিংয়ে ২০% পর্যন্ত ডিসকাউন্ট! কোড ব্যবহার করে সুবিধা নিন।,64,10,2,5.5,True,1.5757575757575757,False,False,False,0,False,False,0,0,False,0,False,0,False,1,0,0,2,0.03125,False,False,False,False,False,False,False,0
normal,কি খবর তোমাদের?,15,3,1,4.333333333333333,True,1.5,False,False,False,0,False,False,0,0,False,0,False,0,False,0,1,0,0,0.0,False,False,False,False,False,False,False,0
smish,আপনার অ্যাকাউন্টে সন্দেহজনক কার্যকলাপ হয়েছে। <PERSON>: [<URL>,62,7,2,8.0,True,1.1428571428571428,True,True,False,0,False,False,0,0,False,0,False,1,True,0,0,2,0,0.0,False,False,False,False,False,False,False,0
normal,আজকে কি করছো?,13,3,1,3.6666666666666665,True,1.4285714285714286,False,False,False,0,False,False,0,0,False,0,False,0,False,0,1,0,0,0.0,False,False,False,False,False,False,False,0
promo,ফ্ল্যাট ১০% ছাড় সারা স্টোরে। কোড: FLAT10. শুধুমাত্র অনলাইনে।,61,9,3,5.888888888888889,True,1.5555555555555556,True,True,False,0,False,False,0,0,False,0,False,0,False,0,0,1,4,0.06557377049180328,False,False,False,False,False,False,False,0
normal,<PERSON> একটি <PERSON> বাড়ি পাচ্ছে।,36,5,1,6.4,True,0.75,True,True,False,0,False,False,0,0,False,0,False,0,False,0,0,2,0,0.0,False,False,False,False,False,False,False,0
normal,"সাফল্য তোমার দিকে আসবে, ধৈর্য ধরো।",34,6,1,4.833333333333333,True,1.588235294117647,False,False,False,0,False,False,0,0,False,0,False,0,False,0,0,0,0,0.0,False,False,False,False,False,False,False,0
promo,সব ডিভিডিতে ১০% ছাড়। অফারটি সীমিত সময়ের জন্য।,47,8,2,5.0,True,1.6818181818181819,False,False,False,0,False,False,0,1,True,1,True,0,False,0,0,0,2,0.0425531914893617,False,False,False,False,False,False,False,0
smish,আপনার ব্যাংক অ্যাকাউন্টে ২ কোটি টাকা জমা হয়েছে! নিশ্চিত করতে কল করুন: <PHONE_NUMBER>,85,13,2,5.615384615384615,True,1.2666666666666666,True,True,False,0,False,False,0,0,False,0,False,1,True,1,0,1,1,0.011764705882352941,False,False,False,False,False,False,False,0
smish,"*<PERSON> বসে ফর্ম  ফিলাপের কাজ। 
* ৫টা <LOCATION> ফিলাপ ৫১০ টাকা, 
আমাদের কোম্পানিতে কিছু লোক নেওয়া হচ্ছে। 
*শিক্ষাগত যোগ্যতা : বাংলা পরতে পারলেই হবে 
*ফোনে WhatsApp থাকতে হবে। 
*বেতন : ৮০০০-১৮০০০ টাকা",203,32,4,5.1875,True,1.4222222222222223,True,True,False,0,False,False,0,0,False,0,False,0,False,0,0,2,13,0.06403940886699508,False,False,False,False,False,False,False,0
promo,বোনাস সহ ৭জিবি-১৩০টাকা-৩০দিন। নিতে ডায়াল *১২১*৫৪৬৯# বা ভিজিট <PERSON>,69,9,2,6.777777777777778,True,1.8076923076923077,True,True,False,0,False,False,0,0,False,1,True,0,False,0,0,1,13,0.18840579710144928,False,False,False,False,False,False,False,0
normal,কি খাবে? আজ মাংসের রান্না হচ্ছে। তুমি?,38,7,3,4.571428571428571,True,1.8125,False,False,False,0,False,False,0,0,False,0,False,0,False,0,2,0,0,0.0,False,False,False,False,False,False,False,0
smish,শাকিবের সই করা বল জিততে ক্রিকেটে বাজি ধরুন! ক্লিক করুন: <URL>,61,11,2,4.636363636363637,True,1.4193548387096775,True,True,False,0,False,False,0,0,False,0,False,1,True,1,0,1,0,0.0,False,False,False,False,False,False,False,0
smish,আপনার মোবাইল <PERSON>এন্ড ল্যাপটপ জিতেছে! <PERSON> পেতে কল করুন <PHONE_NUMBER>,78,10,2,6.9,True,0.7755102040816326,True,True,False,0,False,False,0,0,False,0,False,1,True,1,0,3,0,0.0,False,False,False,False,False,False,False,0
normal,আমি যেন কিছু বলতে পারি না।,26,6,1,3.5,True,1.6666666666666667,False,False,False,0,False,False,0,0,False,0,False,0,False,0,0,0,0,0.0,False,False,False,False,False,False,False,0
promo,"৫জিবি+১৫০মিনিট ১৩০টাকা (৩০দিন),ডায়াল *১২১*৫২০৫# বা <URL>",56,6,1,8.5,True,2.4375,True,True,False,0,False,False,0,0,False,0,False,0,False,0,0,1,16,0.2857142857142857,False,False,False,False,False,False,False,0
normal,"তুমি পারবে, শুধু লেগে থাকো।",27,5,1,4.6,True,1.9090909090909092,False,False,False,0,False,False,0,0,False,0,False,0,False,0,0,0,0,0.0,False,False,False,False,False,False,False,0
smish,"উদ্দীপন।Post Name:FPO &
Branch Accountant. Your Exam
Date:<DATE_TIME> (<DATE_TIME>).
Time:09:00 AM (সকাল)। স্থান:সিলেট জোন অফিস।সাথে দুই কপি পাসপোর্ট সাইজের ছবি,CV, <LOCATION> চাকরির আবেদন (বাংলায়), <DATE_TIME> প্রার্থীর রেফারেল ফরম (যদি থাকে),এনআইডি এর ফটোকপি,মূল সনদপত্রের ফটোকপি সত্যায়িত ও মূল সনদপত্র সাথে নিয়ে আসবেন।উদ্দীপন সিলেট জোনেৱ <PERSON>:বাড়ির নাম: শোভাশ্রম,বাড়ি নম্বর: 2/1,J ব্লক,শাহজালাল উপশহর মেইন রোড,বাইতুল জান্নাত জামে মসজিদ এর বিপরীতে।খেলার <PERSON> সংলগ্ন / উপ পুলিশ কমিশনার কার্যালয়ের কাছে।প্রয়োজনে:<PHONE_NUMBER>। <PERSON> এভাবে,
বরাবর,
উপ-পরিচালক ও প্রধান
মানবসম্পদ ও ব্যবস্থাপনা বিভাগ
উদ্দীপন প্রধান কাৰ্যালয়
রিং রোড,আদাবর ঢাকা ১২০৭।",665,82,10,7.121951219512195,True,1.0884718498659518,True,True,False,0,False,False,0,0,False,0,False,0,False,0,0,10,10,0.015037593984962405,False,False,False,False,False,False,False,0
smish,আপনার ইন্সুরেন্স পলিসি আপডেট করতে এখানে ক্লিক করুন: [<URL>,58,9,1,5.555555555555555,True,1.34375,True,True,False,0,False,False,0,0,False,0,False,1,True,0,0,1,0,0.0,False,False,False,False,False,False,False,0
normal,তুমি কি পরিবারের সাথে আছো?,26,5,1,4.4,True,1.75,False,False,False,0,False,False,0,0,False,0,False,0,False,0,1,0,0,0.0,False,False,False,False,False,False,False,0
smish,"আপনি অনলাইনে একটি খণ্ডকালীন/পূর্ণ-সময়ের চাকরির জন্য নির্বাচিত হয়েছেন। কাজটি খুবই সহজ, কোন সময় সীমা নেই, কোন স্থানের সীমা নেই, এটি ঘরে বসে করা যায়, দৈনিক বেতন 1000-5000TK, একটি চাকরি খুঁজতে হোয়াটসঅ্যাপ ম্যানেজারের সাথে যোগাযোগ করুন:  <URL>",243,36,2,5.75,True,1.5166666666666666,True,True,False,0,False,False,0,0,False,0,False,0,False,0,0,2,8,0.03292181069958848,False,False,False,False,False,False,False,0
promo,"১২৫৳ ক্যাশব্যাকে সেরা অফার <PERSON>, ৩০দিন: <URL>",49,7,1,6.142857142857143,True,1.2727272727272727,True,True,False,0,False,False,0,0,False,1,True,0,False,0,0,2,5,0.10204081632653061,False,False,False,False,False,False,False,0
smish,"উপবৃত্তির 4200 টাকার জন্য
যোগাযোগ করুন: <PHONE_NUMBER>
শিক্ষা বোর্ড",67,9,1,6.555555555555555,True,1.1111111111111112,True,True,False,0,False,False,0,0,False,0,False,0,False,0,0,1,4,0.05970149253731343,False,False,False,False,False,False,False,0
normal,"রাগ করে কখনো ভালোবাসার <PERSON> <LOCATION> নেই। রাগ কড়ে বেশি অবহেলা করতে নেই, ভালোবাসার মানুষকে। <PERSON> জীবনের সবচেয়ে দামী জিনিস, ভালোবাসার মানুষকে হারাতে হয়।",163,24,3,5.833333333333333,True,1.2823529411764707,True,True,False,0,False,False,0,0,False,0,False,0,False,0,0,3,0,0.0,False,False,False,False,False,False,False,0
normal,আজ কেমন লাগছে তোমাকে? ঠিক আছি। আপনার কেমন লাগছে?,48,9,3,4.444444444444445,True,1.48,False,False,False,0,False,False,0,0,False,0,False,0,False,0,2,0,0,0.0,False,False,False,False,False,False,False,0
smish,আপনার গাড়ির ইন্সুরেন্স নবায়ন করতে কল করুন <PHONE_NUMBER>,58,8,1,6.375,True,1.0277777777777777,True,True,False,0,False,False,0,0,False,0,False,1,True,0,0,1,0,0.0,False,False,False,False,False,False,False,0
normal,আজকের পরিকল্পনা কি?,19,3,1,5.666666666666667,True,1.4545454545454546,False,False,False,0,False,False,0,0,False,0,False,1,True,0,1,0,0,0.0,False,False,False,False,False,False,False,0
promo,বোনাস সহ ১জিবি-৩০টাকা-৩দিন। ডায়াল *১২১*৫২১৫# বা <LOCATION>,58,7,2,7.428571428571429,True,1.565217391304348,True,True,False,0,False,False,0,0,False,1,True,0,False,0,0,1,11,0.1896551724137931,False,False,False,False,False,False,False,0
promo,"হ্যাপি নিউ ইয়ার - ২০২৪
স্মার্ট ব্যাংকিং সেবায় সোনালী ব্যাংক
সর্বদাই আপনার পাশে
মোঃ আফজাল করিম
সিইও এন্ড এমডি",110,19,1,4.842105263157895,True,1.75,False,False,False,0,False,False,0,0,False,0,False,0,False,0,0,0,4,0.03636363636363636,False,False,False,False,False,False,False,0
normal,কি খবর?,7,2,1,3.0,True,1.25,False,False,False,0,False,False,0,0,False,0,False,0,False,0,1,0,0,0.0,False,False,False,False,False,False,False,0
promo,বিকাশে ৫০০০ টাকা ডিপোজিট করলে ১০০০ টাকা বোনাস! আজই সুযোগ নিন।,61,11,2,4.636363636363637,True,1.96,False,False,False,0,False,False,0,1,True,1,True,0,False,1,0,0,8,0.13114754098360656,True,False,False,False,False,False,False,0
normal,"আপনার পাওনা ৫০০০/- টাকা, জলদি পরিশোধ করুন।",42,7,1,5.142857142857143,True,1.6842105263157894,False,False,False,0,False,False,0,0,False,0,False,0,False,0,0,0,4,0.09523809523809523,False,False,False,False,False,False,False,0
smish,আপনার ক্রেডিট স্কোর আপডেট করতে কল করুন <PHONE_NUMBER>,53,8,1,5.75,True,0.9411764705882353,True,True,False,0,False,False,0,0,False,0,False,1,True,0,0,1,0,0.0,False,False,False,False,False,False,False,0
promo,বোনাস সহ ২জিবি-৪৫টাকা-৩দিন। ডায়াল *১২১*৫৫৩৪# বা <LOCATION>,58,7,2,7.428571428571429,True,1.565217391304348,True,True,False,0,False,False,0,0,False,1,True,0,False,0,0,1,11,0.1896551724137931,False,False,False,False,False,False,False,0
promo,"১৫০৳ ক্যাশব্যাকে নাও ডাটা মিক্সার ৮০জিবি@৳৬৯৯,৩০দিন: <LOCATION>",63,7,1,8.142857142857142,True,1.6923076923076923,True,True,False,0,False,False,0,0,False,0,False,0,False,0,0,1,10,0.15873015873015872,False,False,False,False,False,False,False,0
promo,বোনাস সহ ৩জিবি-৬০টাকা-৩দিন। ডায়াল *১২১*৫৬৯৯# বা <LOCATION>,58,7,2,7.428571428571429,True,1.565217391304348,True,True,False,0,False,False,0,0,False,1,True,0,False,0,0,1,11,0.1896551724137931,False,False,False,False,False,False,False,0
normal,"কষ্ট পেয়ো না, <DATE_TIME> তোমার সাথে আছি।",42,7,1,5.142857142857143,True,1.0952380952380953,True,True,False,0,False,False,0,0,False,0,False,0,False,0,0,1,0,0.0,False,False,False,False,False,False,False,0
normal,কাজ কিভাবে চলছে?,16,3,1,4.666666666666667,True,1.625,False,False,False,0,False,False,0,0,False,0,False,0,False,0,1,0,0,0.0,False,False,False,False,False,False,False,0
promo,"সর্বকালের সর্বশ্রেষ্ঠ বাঙালি জাতির পিতা বঙ্গবন্ধু <DATE_TIME> রহমান এর ৪৭তম শাহাদত বার্ষিকীতে বিনম্র শ্রদ্ধা""-ডাক ও টেলিযোগাযোগ বিভাগ।",134,17,1,6.9411764705882355,True,1.4444444444444444,True,True,False,0,False,False,0,0,False,0,False,0,False,0,0,1,2,0.014925373134328358,False,False,False,False,False,False,False,0
normal,"কি খবর, হাই?",12,3,1,3.3333333333333335,True,1.3333333333333333,False,False,False,0,False,False,0,0,False,0,False,0,False,0,1,0,0,0.0,False,False,False,False,False,False,False,0
promo,"২০০৳ ক্যাশব্যাক শেষ দিন! ৬১জিবি+১০০০মি@৳৬৯৯,৩০দিন: <URL>",56,6,2,8.5,True,2.2777777777777777,True,True,False,0,False,False,0,1,True,0,False,0,False,1,0,1,14,0.25,False,False,False,False,False,False,False,0
normal,পাখিরা গাছে খুব সুন্দর গান গায়।,32,6,1,4.5,True,1.7333333333333334,False,False,False,0,False,False,0,0,False,0,False,0,False,0,0,0,0,0.0,False,False,False,False,False,False,False,0
normal,হ্যালো!,7,1,1,7.0,True,2.0,False,False,False,0,False,False,0,0,False,0,False,0,False,1,0,0,0,0.0,False,False,False,False,False,False,False,0
normal,"প্রিয় শিক্ষার্থী, আপনার টিউশন ফি আজ পর্যন্ত ২২,৯০০.০০ টাকা বকেয়া আছে। (পূর্বের লেট ফাইন ও বকেয়াসহ) চলতি মাসের টিউশন ফি (জরিমানা ছাড়া) ২০ই সেপ্টেম্বর, ২০২৪ মধ্যে পরিশোধ করুন। বিস্তারিত <URL> লগইন করুন। (ULAB)",207,33,5,5.303030303030303,True,1.5454545454545454,True,True,False,0,False,False,0,0,False,0,False,0,False,0,0,2,13,0.06280193236714976,False,False,False,False,False,False,False,0
promo,"৫জিবি+১৫০মিনিট ১৩০টাকা (৩০দিন),ডায়াল *১২১*৫২০৫# বা <URL>",56,6,1,8.5,True,2.4375,True,True,False,0,False,False,0,0,False,0,False,0,False,0,0,1,16,0.2857142857142857,False,False,False,False,False,False,False,0
smish,"*<PERSON> বসে ফর্ম  ফিলাপের কাজ। 
* ৫টা <LOCATION> ফিলাপ ৫১০ টাকা, 
আমাদের কোম্পানিতে কিছু লোক নেওয়া হচ্ছে। 
*শিক্ষাগত যোগ্যতা : বাংলা পরতে পারলেই হবে 
*ফোনে WhatsApp থাকতে হবে। 
*বেতন : ৮০০০-১৮০০০ টাকা",203,32,4,5.1875,True,1.4222222222222223,True,True,False,0,False,False,0,0,False,0,False,0,False,0,0,2,13,0.06403940886699508,False,False,False,False,False,False,False,0
smish,আপনার অ্যাকাউন্টে সন্দেহজনক কার্যকলাপ হয়েছে। <PERSON>: [<URL>,62,7,2,8.0,True,1.1428571428571428,True,True,False,0,False,False,0,0,False,0,False,1,True,0,0,2,0,0.0,False,False,False,False,False,False,False,0
promo,ভ্রমণ প্যাকেজে ২০% ছাড়! বুকিং করতে আজই যোগাযোগ করুন।,52,9,2,4.888888888888889,True,1.64,False,False,False,0,False,False,0,1,True,0,False,0,False,1,0,0,2,0.038461538461538464,False,False,False,False,False,False,False,0
smish,আপনার ক্রেডিট <DATE_TIME> ব্লক করা হয়েছে। পুনরায় চালু করতে এখানে ক্লিক করুন: <URL>,84,13,2,5.538461538461538,True,1.2,True,True,False,0,False,False,0,0,False,0,False,1,True,0,0,2,0,0.0,False,False,False,False,False,False,False,0
smish,"২০০ টাকা বিনামূল্যে বোনাস!
৫০০০টাকা জেতার সুযোগ।
<URL>",54,8,3,5.875,True,1.9047619047619047,True,True,False,0,False,False,0,0,False,1,True,0,False,1,0,1,7,0.12962962962962962,False,False,False,False,False,False,False,0
normal,আমি যেন তোমার কাছে কিছু বলতে পারি।,34,7,1,4.0,True,1.6875,False,False,False,0,False,False,0,0,False,0,False,0,False,0,0,0,0,0.0,False,False,False,False,False,False,False,0
promo,"৫জিবি+১৫০মিনিট ১৩০টাকা (৩০দিন),ডায়াল *১২১*৫২০৫# বা <URL>",56,6,1,8.5,True,2.4375,True,True,False,0,False,False,0,0,False,0,False,0,False,0,0,1,16,0.2857142857142857,False,False,False,False,False,False,False,0
promo,সব ডিভিডিতে ১০% ছাড়। অফারটি সীমিত সময়ের জন্য।,47,8,2,5.0,True,1.6818181818181819,False,False,False,0,False,False,0,1,True,1,True,0,False,0,0,0,2,0.0425531914893617,False,False,False,False,False,False,False,0
normal,আমার জন্য কোনো নতুন খবর আছে?,28,6,1,3.8333333333333335,True,1.375,False,False,False,0,False,False,0,0,False,0,False,0,False,0,1,0,0,0.0,False,False,False,False,False,False,False,0
normal,তোমার জন্য একটি ভালো দিন!,25,5,1,4.2,True,1.5384615384615385,False,False,False,0,False,False,0,0,False,0,False,0,False,1,0,0,0,0.0,False,False,False,False,False,False,False,0
smish,জনতা ব্যাংক অ্যাকাউন্টে সমস্যা হয়েছে। কল করুন: <PHONE_NUMBER>,62,8,2,6.875,True,1.1142857142857143,True,True,False,0,False,False,0,0,False,0,False,1,True,0,0,1,0,0.0,False,False,False,False,False,False,False,0
promo,ব্যালেন্স শেষ? <PERSON> পর্যন্ত জিপি <LOCATION> ব্যালেন্স নিতে *৯#,66,9,2,6.444444444444445,True,1.0571428571428572,True,True,False,0,False,False,0,1,True,0,False,0,False,0,1,2,1,0.015151515151515152,False,False,False,False,False,False,False,0
smish,অভিনন্দন! আপনি ১ কোটি টাকা লটারি জিতেছেন। আপনার পুরস্কার সংগ্রহ করতে আমাদের সাথে যোগাযোগ করুন। যোগাযোগ:<PHONE_NUMBER>,117,16,4,6.375,True,1.3125,True,True,False,0,False,False,0,0,False,1,True,0,False,1,0,1,1,0.008547008547008548,False,False,False,False,False,False,False,0
promo,"৳৩৯৯ তে ৳৪৯৯ এর অফার! নাও ৩১জিবি+৪৫০মি.,৩০দিন: <URL>",52,8,3,5.625,True,2.1875,True,True,False,0,False,False,0,0,False,1,True,0,False,1,0,1,13,0.25,False,False,False,False,False,False,False,0
smish,আপনার লেনদেনটি সম্পূর্ণ করতে এখানে ক্লিক করুন: [<URL>,53,8,1,5.75,True,1.3448275862068966,True,True,False,0,False,False,0,0,False,0,False,1,True,0,0,1,0,0.0,False,False,False,False,False,False,False,0
smish,আপনি ৬ ভরি সোনা জিতেছেন! বিস্তারিত জানতে কল করুন: <PHONE_NUMBER>,64,10,2,5.5,True,1.1142857142857143,True,True,False,0,False,False,0,0,False,0,False,1,True,1,0,1,1,0.015625,False,False,False,False,False,False,False,0
normal,"আপনার মেয়ে হাসপাতালে, জলদি টাকা পাঠান <PHONE_NUMBER>।",53,7,1,6.714285714285714,True,1.0333333333333334,True,True,False,0,False,False,0,0,False,0,False,1,True,0,0,1,0,0.0,False,False,False,False,False,False,False,0
