MSG_ID,SOURCE,TEXT,PRE_LABEL,A1_SATTER,A2_MARWAN,AGREE,GOLD_LABEL,ADJUDICATOR_NOTE
MSG0031,banglabarta,সেনাবাহিনীতে সৈনিক পদে যোগদানের জন্য ১০ জানুয়ারি ২০২৪ হতে ১৫ ফেব্রুয়ারি ২০২৪ পর্যন্ত আবেদন আহবান করা হচ্ছে। নিয়োগ বিজ্ঞপ্তিতে প্রকাশিত নির্দেশনা অনুযায়ী টেলিটক সিমের মাধ্যমে আবেদন করতে হবে,S2_FakePromo,L0_Ham,L0_Ham,YES,L0_Ham,Annotators agreed
MSG0032,mendeley_financial,Your BDT 3000 utility bill has been paid successfully.,L0_Ham,L0_Ham,L0_Ham,YES,L0_Ham,Annotators agreed
MSG0033,mendeley_financial,Your online subscription has been renewed. Thank you!,L0_Ham,L0_Ham,S6_PhishingLink,NO,L0_Ham,"Subscription renewal confirmation — no link, no ask, legitimate notification."
MSG0034,banglabarta,"১০০৳ <NRP>! ৩১জিবি+৪৫০মি.@৩৯৯৳,৩০দিন,নিয়ে নাও: <URL>",S2_FakePromo,S2_FakePromo,L0_Ham,NO,L0_Ham,Telecom NRP cashback — real GP promotion format. Legitimate.
MSG0035,mendeley_financial,Your electricity bill payment of BDT 2600 was successful.,L0_Ham,L0_Ham,L0_Ham,YES,L0_Ham,Annotators agreed
MSG0036,mendeley_financial,Reminder: Doctor’s appointment <DATE_TIME> at <DATE_TIME>,L0_Ham,L0_Ham,L0_Ham,YES,L0_Ham,Annotators agreed
MSG0037,banglabarta,"আপনাদের চাকরির আবেদন মঞ্জুর হয়েছে এবং বেতন প্রতিদিন ৩০০০ টাকা।

যোগাযোগের তথ্য: [<URL>(<URL>)",S6_PhishingLink,S4_LoanJob,S4_LoanJob,YES,S4_LoanJob,Annotators agreed
MSG0038,banglabarta,"এখনই খেলুন, জিতে নিন ৫টি স্মার্টফোন! সুযোগ হাতছাড়া করবেন না, ক্লিক করুন: <URL> ; ট্যাক্সসহ চার্জ ২.৭৮ টাকা/দিন।",S6_PhishingLink,S3_LotteryPrize,S4_LoanJob,NO,S3_LotteryPrize,Win 5 smartphones — lottery/prize framing is the primary lure. A1 correct.
MSG0039,banglabarta,"আড়ং দিচ্ছে ঈদ উপলক্ষে বিশাল অফার ক্লিক করুন 
<URL>",S6_PhishingLink,S6_PhishingLink,S6_PhishingLink,YES,S6_PhishingLink,Annotators agreed
MSG0040,mendeley_financial,"Claim your BDT 7,500 insurance payout by contacting us immediately.",S1_AccountCompromise,S3_LotteryPrize,S3_LotteryPrize,YES,S3_LotteryPrize,Annotators agreed
MSG0041,mendeley_financial,Earn $100 per day from home with this financial program. Apply now!,S1_AccountCompromise,S4_LoanJob,S1_AccountCompromise,NO,S4_LoanJob,Earn $100/day from home — job/income scam. Primary tactic is fake job offer.
MSG0042,banglabarta,তোমার সময় কোথায় যাচ্ছে?,L0_Ham,L0_Ham,L0_Ham,YES,L0_Ham,Annotators agreed
MSG0043,banglabarta,"যদি আপনার হাতে দিনের ১/২ ঘন্টা ফ্রি সময় থাকে তাহলে <PERSON> কিছু প্রসেস দেখিয়ে <NRP> আপনি সেখান থেকে ইনকাম করতে পারবেন।
তাহলে এখনি Hi বলুন।.",S6_PhishingLink,S4_LoanJob,S4_LoanJob,YES,S4_LoanJob,Annotators agreed
MSG0044,banglabarta,মাশরাফির সাথে ফ্রি ট্রিপ জিততে আজই ক্যাসিনোতে বাজি ধরুন। ক্লিক করুন: <URL>,S6_PhishingLink,S3_LotteryPrize,S3_LotteryPrize,YES,S3_LotteryPrize,Annotators agreed
MSG0045,mendeley_financial,আপনার অ্যাকাউন্টে নতুন অ্যাক্টিভিটি শনাক্ত করা হয়েছে।,S1_AccountCompromise,S1_AccountCompromise,S6_PhishingLink,NO,S6_PhishingLink,Account activity alert with link — link is the primary mechanism (S6).
MSG0046,mendeley_financial,Salary allowance of $120 added separately. Check your payroll slip,L0_Ham,L0_Ham,L0_Ham,YES,L0_Ham,Annotators agreed
MSG0047,mendeley_financial,Your cab driver will arrive in <DATE_TIME>.,L0_Ham,L0_Ham,L0_Ham,YES,L0_Ham,Annotators agreed
MSG0048,mendeley_financial,Congratulations! You have won a prize. Send <PERSON> to claim your reward.,S1_AccountCompromise,S3_LotteryPrize,S3_LotteryPrize,YES,S3_LotteryPrize,Annotators agreed
MSG0049,mendeley_financial,"Warning: Suspicious activity detected, confirm via <PERSON> now.",S1_AccountCompromise,S1_AccountCompromise,S1_AccountCompromise,YES,S1_AccountCompromise,Annotators agreed
MSG0050,banglabarta,আপনার ক্রেডিট স্কোর আপডেট করতে কল করুন <PHONE_NUMBER>,S6_PhishingLink,S6_PhishingLink,S6_PhishingLink,YES,S6_PhishingLink,Annotators agreed
MSG0051,mendeley_financial,"Exclusive crypto investment opportunity: Deposit $200 to earn $1,500 <DATE_TIME>. Limited seats",S1_AccountCompromise,S4_LoanJob,S4_LoanJob,YES,S4_LoanJob,Annotators agreed
MSG0052,banglabarta,প্রাণ চলার জন্য আমার প্রিয় জায়গা বার্বিকিউট।,L0_Ham,L0_Ham,L0_Ham,YES,L0_Ham,Annotators agreed
MSG0053,banglabarta,"প্রিয় শিক্ষার্থী, আপনার টিউশন ফি আজ পর্যন্ত ৩০,৪৫০.০০ টাকা বকেয়া আছে। (পূর্বের লেট ফাইন ও বকেয়াসহ) চলতি মাসের টিউশন ফি (জরিমানা ছাড়া) ১৮ই সেপ্টেম্বর, ২০২৪ মধ্যে পরিশোধ করুন। বিস্তারিত <URL> লগইন করুন। (Daffodil)",L0_Ham,L0_Ham,S5_Impersonation,NO,L0_Ham,"Tuition fee reminder — institution notification, not a scam unless source is unknown; text alone is legitimate."
MSG0054,banglabarta,আশা করি তোমার সমস্ত ইচ্ছা পূরণ হোক!,L0_Ham,L0_Ham,L0_Ham,YES,L0_Ham,Annotators agreed
MSG0055,banglabarta,শুভ সপ্তাহের প্রথম দিন!,L0_Ham,L0_Ham,L0_Ham,YES,L0_Ham,Annotators agreed
MSG0056,banglabarta,শুভ সরস্বতী পূজা!,L0_Ham,L0_Ham,L0_Ham,YES,L0_Ham,Annotators agreed
MSG0057,banglabarta,ক্যাসিনোতে বেট করুন এবং একটি ফ্রি বাড়ি জিতুন! আজই শুরু করুন: <URL>,S6_PhishingLink,S6_PhishingLink,S3_LotteryPrize,NO,S6_PhishingLink,Free house via casino + URL — link is primary mechanism. S6.
MSG0058,banglabarta,অনলাইনে নির্বাচন কিভাবে করা যাবে,L0_Ham,L0_Ham,L0_Ham,YES,L0_Ham,Annotators agreed
MSG0059,banglabarta,"ডাবলসেঞ্চুরি ক্যাশব্যাক ৳২০০!৬১জিবি+১০০০মি@ ৳৬৯৯, ৩০দিন <URL>",S2_FakePromo,S2_FakePromo,L0_Ham,NO,L0_Ham,"GP Double Century offer — real telecom promotional message, legitimate."
MSG0060,banglabarta,"ইন্টারনেটিংয়ে পকেট সেভিং, নাও ১০জিবি@৳১৫৮, ৭দিন: <URL>",S2_FakePromo,S2_FakePromo,L0_Ham,NO,L0_Ham,Telecom internet pack offer — legitimate operator promotion.
MSG0061,mendeley_financial,আপনার প্রিয়জনের জন্য গোপন নোটিশ: সাধারণ ফিচার ডাউনলোড করুন।,L0_Ham,L0_Ham,S1_AccountCompromise,NO,L0_Ham,'Secret notice' phrasing suspicious but no clear scam action requested. A1 correct.
MSG0062,banglabarta,নতুন ফ্যাশন কালেকশনে ২০% ডিসকাউন্ট। আজই <NRP>!,S2_FakePromo,S2_FakePromo,S2_FakePromo,YES,S2_FakePromo,Annotators agreed
MSG0063,banglabarta,"ঘরে বসে মোবাইলের মাধ্যমে অনলাইনে কাজ করে ইনকাম করুন।
#🎯 মাসিক ইনকাম: ২০০০০-৩০০০০টাকা।(বারতি আয়ের সুযোগ আছে,,ফ্রি ইনকাম ও আছে)। সাথে মাসিক বেতন আছে",S6_PhishingLink,S4_LoanJob,S4_LoanJob,YES,S4_LoanJob,Annotators agreed
MSG0064,banglabarta,"যারা ফ্রিতে ইনকাম করতে চান শুধু তারা আমাদের টেলিগ্রাম লিংক এ ডুকে কাজ শুরু করে দেন
<URL>",S6_PhishingLink,S4_LoanJob,S6_PhishingLink,NO,S6_PhishingLink,Telegram link for free income — link is primary mechanism. S6.
MSG0065,banglabarta,"1GB (0.2GB+ 0.8GB Bonus) ইন্টারনেট সফলভাবে চালু হয়েছে। মোট মূল্য 19TK, মেয়াদ 7 দিন। ইন্টারনেট ব্যালেন্স জানতে <URL> ক্লিক করুন অথবা *121*1*4# ডায়াল করুন।",S2_FakePromo,S2_FakePromo,L0_Ham,NO,L0_Ham,Data pack activation confirmation — legitimate telecom notification.
MSG0066,mendeley_financial,Reward claim: Your tax refund of $420 is pending. Submit bank details to process immediately,S1_AccountCompromise,S5_Impersonation,S5_Impersonation,YES,S5_Impersonation,Annotators agreed
MSG0067,banglabarta,"দুঃখিত, আমি ভুল করে <NRP> একটি <PERSON> OTP পাঠিয়ে দিয়েছি। আপনি আমাকে OTP-টা ফরওয়ার্ড করতে পারবেন? এখনই দরকার",S6_PhishingLink,S5_Impersonation,S5_Impersonation,YES,S5_Impersonation,Annotators agreed
MSG0068,banglabarta,ঈদের পরিবর্তে শুভ নববর্ষ!,L0_Ham,L0_Ham,L0_Ham,YES,L0_Ham,Annotators agreed
MSG0069,banglabarta,আপনার ডেবিট কার্ডের পিন রিসেট করতে কল করুন <PHONE_NUMBER>,S6_PhishingLink,S6_PhishingLink,S1_AccountCompromise,NO,S1_AccountCompromise,PIN reset via phone call — account compromise attempt. No URL so S6 doesn't apply.
MSG0070,mendeley_financial,Alert: Suspicious debit card transaction of BDT 5000 detected. Verify immediately.,S1_AccountCompromise,S1_AccountCompromise,S5_Impersonation,NO,S1_AccountCompromise,Suspicious debit transaction alert asking to verify — credential theft primary harm. S5 secondary.
MSG0071,banglabarta,এমন কারো সঙ্গী হোন যে আপনাকে আল্লাহর কথা স্মরণ করিয়ে দেয়। – [ড. বিলাল ফিলিপ্স],L0_Ham,L0_Ham,L0_Ham,YES,L0_Ham,Annotators agreed
MSG0072,mendeley_financial,"Limited offer: Apply for an instant $1,500 payday loan without credit check",S1_AccountCompromise,S4_LoanJob,S1_AccountCompromise,NO,S4_LoanJob,Instant loan without credit check — primary tactic is fake loan offer.
MSG0073,mendeley_financial,"Paid the tuition installment of 15,000 BDT <DATE_TIME>. Please confirm on your side",L0_Ham,L0_Ham,L0_Ham,YES,L0_Ham,Annotators agreed
MSG0074,banglabarta,কাজ কিভাবে চলছে?,L0_Ham,L0_Ham,S5_Impersonation,NO,L0_Ham,"'How's work?' — casual text, no scam content. Marwan over-applied S5."
MSG0075,banglabarta,"আপনার মেয়ে হাসপাতালে, জলদি টাকা পাঠান <PHONE_NUMBER>।",L0_Ham,S5_Impersonation,S5_Impersonation,YES,S5_Impersonation,Annotators agreed
MSG0076,mendeley_financial,Your account balance is adequate.,L0_Ham,L0_Ham,S6_PhishingLink,NO,L0_Ham,"Account balance adequate — informational, no action requested, no link."
MSG0077,mendeley_financial,Your loan approved! Send your personal details to receive funds.,S1_AccountCompromise,S4_LoanJob,S4_LoanJob,YES,S4_LoanJob,Annotators agreed
MSG0078,banglabarta,bKash অ্যাকাউন্ট ব্লক হয়েছে। পুনরায় চালু করতে কল করুন: <PHONE_NUMBER>,S6_PhishingLink,S5_Impersonation,S1_AccountCompromise,NO,S5_Impersonation,bKash block + call number — impersonating bKash support with no URL. S5 correct.
MSG0079,banglabarta,"<URL>

ফ্রি আবারো আসলো আপনাদের মাঝে নতুন একটি ইনকাম বট যেটি প্রতি রেফারে দিচ্ছে ৭৫ টাকা করে তাই আর <NRP> না করে কাজে লেগে <PERSON> ☺️🫰",S6_PhishingLink,S6_PhishingLink,S6_PhishingLink,YES,S6_PhishingLink,Annotators agreed
MSG0080,mendeley_financial,"I will return your 1,500 BDT <DATE_TIME> once my salary arrives",L0_Ham,L0_Ham,L0_Ham,YES,L0_Ham,Annotators agreed
MSG0081,banglabarta,"বেশি চিন্তা করব না, সব ঠিক হবে।",L0_Ham,L0_Ham,L0_Ham,YES,L0_Ham,Annotators agreed
MSG0082,banglabarta,আপনার ক্রেডিট কার্ডে অজানা একটি <PERSON> সনাক্ত করা হয়েছে। নিশ্চিতকরণের জন্য অনুগ্রহ করে এখানে লগইন করুন: <URL>,S6_PhishingLink,S6_PhishingLink,S6_PhishingLink,YES,S6_PhishingLink,Annotators agreed
MSG0083,mendeley_financial,"I repaid the 2,300 BDT loan you gave <DATE_TIME>. Please confirm",L0_Ham,L0_Ham,L0_Ham,YES,L0_Ham,Annotators agreed
MSG0084,banglabarta,"সোনালী ব্যাংক থেকে ১,০০০ টাকা পুরস্কার জিতেছেন! বিস্তারিত জানতে কল করুন: <PHONE_NUMBER>",S6_PhishingLink,S3_LotteryPrize,S4_LoanJob,NO,S3_LotteryPrize,Sonali Bank prize claim (1000 TK) — lottery/prize primary framing. A1 correct.
MSG0085,banglabarta,"৫জিবি+১৫০মিনিট ১৩০টাকা (৩০দিন),ডায়াল *১২১*৫২০৫# বা <URL>",S2_FakePromo,S2_FakePromo,L0_Ham,NO,L0_Ham,Telecom data bundle offer — legitimate promotion.
MSG0086,banglabarta,আপনার মোবাইল ব্যালেন্স রিচার্জ করতে এখানে ক্লিক করুন: [<URL>,S6_PhishingLink,S6_PhishingLink,S6_PhishingLink,YES,S6_PhishingLink,Annotators agreed
MSG0087,mendeley_financial,Update your bank details now to avoid service disruption.,S1_AccountCompromise,S1_AccountCompromise,S1_AccountCompromise,YES,S1_AccountCompromise,Annotators agreed
MSG0088,banglabarta,মেধাবী ছাত্রছাত্রীদের জন্য শিক্ষাবৃত্তির সুবিধা ও অভিজ্ঞ ডাক্তারের সাথে সরাসরি ফ্রি পরামর্শসহ বছরে ৳১৯০০০০ <LOCATION> কভারেজের সাথে হেলথ প্লাসের অন্যান্ন সুবিধা পেতে START RP লিখে পাঠিয়ে দিন 28477.,S6_PhishingLink,S6_PhishingLink,S6_PhishingLink,YES,S6_PhishingLink,Annotators agreed
MSG0089,mendeley_financial,আপনার মোবাইল ফোনের বিল পরিশোধ সফল হয়েছে। ধন্যবাদ।,L0_Ham,L0_Ham,L0_Ham,YES,L0_Ham,Annotators agreed
MSG0090,mendeley_financial,Limited time offer: Upgrade your plan now and save 30%.,S1_AccountCompromise,S2_FakePromo,S2_FakePromo,YES,S2_FakePromo,Annotators agreed
MSG0091,banglabarta,"ভিডিও বা কলে কথা বলতে চাইলে ক্লিক করুন
<URL>",S6_PhishingLink,S6_PhishingLink,S6_PhishingLink,YES,S6_PhishingLink,Annotators agreed
MSG0092,banglabarta,আশা করি তোমার সফলতা হোক!,L0_Ham,L0_Ham,L0_Ham,YES,L0_Ham,Annotators agreed
MSG0093,banglabarta,আমাদের প্রোডাক্টে ডিসকাউন্ট চলছে। বিস্তারিত জানাতে এই নাম্বারে যোগাযোগ করুন: <DATE_TIME>।,S2_FakePromo,S2_FakePromo,S2_FakePromo,YES,S2_FakePromo,Annotators agreed
MSG0094,mendeley_financial,You've been selected for a secret shopper job. Earn BDT <DATE_TIME>.,S1_AccountCompromise,S4_LoanJob,S1_AccountCompromise,NO,S4_LoanJob,Secret shopper job offer — job scam (advance-fee variant). A1 correct.
MSG0095,banglabarta,তুমি কি রান্না করছো?,L0_Ham,L0_Ham,L0_Ham,YES,L0_Ham,Annotators agreed
MSG0096,banglabarta,সবার পছন্দের বার্গার নিয়ে বার্গার কিং এখন ধানমন্ডি ২৭ এ। <PERSON> না করে আকর্ষনীয় সব অফার উপভোগ করতে চলে <NRP> বার্গার কিং এ। হোম ডেলিভারি পেতে কল করুন ১৬৬০৬,S2_FakePromo,S2_FakePromo,S2_FakePromo,YES,S2_FakePromo,Annotators agreed
MSG0097,banglabarta,"১,<DATE_TIME>,<DATE_TIME> বিনিয়োগে ২,<DATE_TIME>,০০০ টাকা পান! কল করুন: <PHONE_NUMBER>",S6_PhishingLink,S4_LoanJob,S4_LoanJob,YES,S4_LoanJob,Annotators agreed
MSG0098,banglabarta,অভিনন্দন! আপনি Radisson Blu-তে দুজনের জন্য একটি বিনামূল্যের ডিনার জিতেছেন। আপনার টেবিল বুক করতে কল করুন 017XXXXXXXX।,S6_PhishingLink,S3_LotteryPrize,S3_LotteryPrize,YES,S3_LotteryPrize,Annotators agreed
MSG0099,mendeley_financial,"Reminder: Your scheduled BDT 12,000 bill payment will process <DATE_TIME>.",L0_Ham,L0_Ham,L0_Ham,YES,L0_Ham,Annotators agreed
MSG0100,banglabarta,আপনার একাউন্টে সমস্যা হয়েছে। দ্রুত এই নাম্বারে যোগাযোগ করুন <DATE_TIME>।,S6_PhishingLink,S6_PhishingLink,S5_Impersonation,NO,S5_Impersonation,Account problem → call this number — impersonating bank/MFS agent. No URL so S5 applies.
MSG0101,mendeley_financial,Verify your Apple ID to prevent permanent lockout. Ignore if you did not request.,S1_AccountCompromise,S1_AccountCompromise,S1_AccountCompromise,YES,S1_AccountCompromise,Annotators agreed
MSG0102,banglabarta,সোনালী ব্যাংক অ্যাকাউন্ট ব্লক হয়েছে। পুনরায় চালু করতে এখানে ক্লিক করুন: <URL>,S6_PhishingLink,S5_Impersonation,S6_PhishingLink,NO,S6_PhishingLink,Sonali Bank block + click here (URL present) — S6 by priority rule over S5.
MSG0103,mendeley_financial,Alert! Unrecognized device logged in to your account. Verify immediately.,S1_AccountCompromise,S1_AccountCompromise,S1_AccountCompromise,YES,S1_AccountCompromise,Annotators agreed
MSG0104,banglabarta,"নগদ অ্যাকাউন্ট থেকে ৫,০০০ টাকা পুরস্কার জিতেছেন! বিস্তারিত জানতে এখানে ক্লিক করুন: <URL>",S6_PhishingLink,S3_LotteryPrize,S6_PhishingLink,NO,S6_PhishingLink,"Nagad prize + link — URL present, S6 by priority rule."
MSG0105,banglabarta,কেমন চলছে তোমার দিন?,L0_Ham,L0_Ham,L0_Ham,YES,L0_Ham,Annotators agreed
MSG0106,banglabarta,"স্মার্টফোন জেতার দুর্দান্ত অফার! সহজ কিছু প্রশ্নের উত্তর <PERSON> <DATE_TIME>,<NRP> টাকার আকর্ষণীয় স্মার্টফোন Oppo <US_DRIVER_LICENSE> মাত্র ৳২.৭৮/দিন, ডায়াল *213*664#",S6_PhishingLink,S6_PhishingLink,S6_PhishingLink,YES,S6_PhishingLink,Annotators agreed
MSG0107,banglabarta,"প্রিয় শিক্ষার্থী, আপনার টিউশন ফি আজ পর্যন্ত ২২,৯০০.০০ টাকা বকেয়া আছে। (পূর্বের লেট ফাইন ও বকেয়াসহ) চলতি মাসের টিউশন ফি (জরিমানা ছাড়া) ২০ই সেপ্টেম্বর, ২০২৪ মধ্যে পরিশোধ করুন। বিস্তারিত <URL> লগইন করুন। (ULAB)",L0_Ham,L0_Ham,L0_Ham,YES,L0_Ham,Annotators agreed
MSG0108,banglabarta,পাখিরা গাছে গান গায়।,L0_Ham,L0_Ham,L0_Ham,YES,L0_Ham,Annotators agreed
MSG0109,banglabarta,আমি কি তোমার কাছে কিছু বলতে পারি?,L0_Ham,L0_Ham,L0_Ham,YES,L0_Ham,Annotators agreed
MSG0110,mendeley_financial,আপনার অ্যাকাউন্ট থেকে টাকা কেটে নেওয়া হয়েছে। সতর্ক থাকুন।,S1_AccountCompromise,S1_AccountCompromise,S1_AccountCompromise,YES,S1_AccountCompromise,Annotators agreed
MSG0111,banglabarta,<DATE_TIME> এই নাম্বারে রকেটে ৫০০ টাকা পাঠান।,L0_Ham,L0_Ham,S5_Impersonation,NO,S1_AccountCompromise,Send 500 TK to this Rocket number — account/money compromise attempt.
MSG0112,banglabarta,"<PERSON> যা করতে চাইবে, তা পারবে।",L0_Ham,L0_Ham,L0_Ham,YES,L0_Ham,Annotators agreed
MSG0113,banglabarta,হাসানের নাম্বারে টাকা দিয়ে তারপর আসিস।,L0_Ham,L0_Ham,L0_Ham,YES,L0_Ham,Annotators agreed
MSG0114,mendeley_financial,Win ₹5000 instantly! Verify your account at <URL>,S1_AccountCompromise,S3_LotteryPrize,S3_LotteryPrize,YES,S3_LotteryPrize,Annotators agreed
